# from	to	version	name	size	sha256	url
en	tr	1.0	lex.50.50.entr.s2t.bin	3261300	3aba0be842bd4c192659c781e6fdce8eb9b2b1fff29a40d22f75da369d59f46f	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/ed96fb89-d560-415b-9391-e5dc8edd13fa.bin
en	tr	1.0	model.entr.intgemm.alphas.bin	17141051	ea3cd4ee09de190df265c78d84260e277a9a8a3ddff05eb55d72afe7fc0fdbf4	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/f48948a5-06b1-465b-a0dc-ea1a1a52323d.bin
en	tr	1.0	vocab.entr.spm	798793	a220363d60391f7ce3df8ec9785424dbc00c24d5786d1a4308cf8ca3ed3385c2	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/462a6fc1-0f2d-4b61-ae3f-147bd9f9d588.spm
en	uk	2.2	lex.50.50.enuk.s2t.bin	3054364	dbfd4f8dc95da9c575164f7fc95ef00a2fb5f7d9f51b656559f99eeebdb57c87	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/e7b2fd05-abf2-4e30-a612-59bce8a6702c.bin
en	uk	2.2	model.enuk.intgemm.alphas.bin	31561787	ed8bb4a811e1c45a259e91052080d25e5c8b4e2df0e59cb1521c04a57855ef97	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/6c69578a-1f77-44ce-993d-4d37c81e081e.bin
en	uk	2.2	vocab.enuk.spm	922077	4dd6a91feff71e745395dcc0d52f885848ca0d843d5f70628ca51b3be1b70b45	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/ffea5811-fcfe-486e-8812-6284bd33ee3a.spm
en	ur	2.0	lex.50.50.enur.s2t.bin	3067772	64fb95c1f2c782cc76227b5d3a09e08cb30fea7b14a27aad69b929ad25f24401	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/20260824134610--2e99b5c4-0265-4e75-bc86-10611e9638e4--16ad2691-87c9-4f25-af54-10f6b9177a3c.bin
en	ur	2.0	model.enur.intgemm.alphas.bin	31561787	0c29a5776a42ccb68f7969f41e64c0cd7a16ff00a5bfed0ed2809039febc202e	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/20260824134606--396ed26c-84a7-470d-92d3-88c3bcd03788--887c2b23-bac9-49e1-8904-ddfd223aee5f.bin
en	ur	2.0	vocab.enur.spm	842549	24be4dacbcb080e4dba5cd025fbb90113de346dcb49930520f49fed484ac2d1f	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/20260824134608--9800133e-bfe1-42b7-95ad-b1f0cc530aab--d059795e-dfed-4528-af77-637e840e9a67.spm
en	vi	2.0	lex.50.50.envi.s2t.bin	4597684	18116817fcd3d24dcdfd97cb57e9e60472800dae3b8a007f6f36d61d645f699c	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/20260522192836--32f34bd8-c481-4c26-aad9-eeddaac9cd79--cd40019d-37ce-4a14-8f11-ccddc804e7a2.bin
